linegroup,comments
ct_oa_chemostat_project_thiamine_gradient_B3,1000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_C3,1000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_D3,1000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_B7,0.1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_C7,0.1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_D7,0.1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_E5,10 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_F5,10 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_G5,10 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_E2,10000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_F2,10000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_G2,10000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_E8,0.01 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_F8,0.01 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_G8,0.01 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_E3,1000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_F3,1000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_G3,1000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_B8,0.01 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_C8,0.01 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_D8,0.01 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_B9,0.001 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_C9,0.001 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_D9,0.001 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_E6,1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_F6,1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_G6,1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_E7,0.1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_F7,0.1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_G7,0.1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_B5,10 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_C5,10 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_D5,10 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_B6,1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_C6,1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_D6,1 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_B2,10000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_C2,10000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_D2,10000 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_E4,100 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_F4,100 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_G4,100 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_E9,0.001 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_F9,0.001 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_G9,0.001 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_B4,100 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_C4,100 nM thiamine
ct_oa_chemostat_project_thiamine_gradient_D4,100 nM thiamine
