linegroup,species
ct_oa_chemostat_project_thiamine_gradient_B3,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_C3,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_D3,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_B7,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_C7,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_D7,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_E5,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_F5,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_G5,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_E2,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_F2,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_G2,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_E8,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_F8,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_G8,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_E3,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_F3,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_G3,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_B8,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_C8,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_D8,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_B9,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_C9,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_D9,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_E6,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_F6,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_G6,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_E7,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_F7,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_G7,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_B5,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_C5,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_D5,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_B6,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_C6,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_D6,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_B2,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_C2,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_D2,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_E4,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_F4,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_G4,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_E9,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_F9,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_G9,Comamonas testosteroni
ct_oa_chemostat_project_thiamine_gradient_B4,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_C4,Ochrobactrum anthropi
ct_oa_chemostat_project_thiamine_gradient_D4,Ochrobactrum anthropi
